Board,Division,ReportingUnit,ReportingSpecialty,SubSpecialty,Specialty
Medicine Board,Emergency Services,Accident & Emergency,ACCIDENT & EMERGENCY,Accident & Emergency,medical
Medicine Board,Emergency Services,Acute Medicine,GENERAL MEDICINE,Acute Medicine,medical
Medicine Board,Emergency Services,Acute Medicine,ACCIDENT & EMERGENCY,Acute Medicine - Ambulatory,medical
Medicine Board,Emergency Services,Acute Medicine,GENERAL MEDICINE,Integrated Operations - Community Homeless Healthcare,medical
Medicine Board,Infection,Infection,INFECTIOUS DISEASES,Infectious Diseases,medical
Medicine Board,Infection,Infection,TROPICAL MEDICINE,Tropical Medicine - General,medical
Medicine Board,Infection,Infection,INFECTIOUS DISEASES,Infectious Diseases - COVID-19 Medicines Delivery,medical
Medicine Board,Infection,Infection,INFECTIOUS DISEASES,Infectious Diseases - RESPOND,medical
Medicine Board,Infection,Infection,INFECTIOUS DISEASES,Infectious Diseases - Find and Treat,medical
Medicine Board,Infection,Infection,TROPICAL MEDICINE,Tropical Medicine - Dermatology,medical
Medicine Board,Medical Specialties,Care Of the Elderly,GERIATRIC MEDICINE,Geriatric Medicine - General,medical
Medicine Board,Medical Specialties,Care Of the Elderly,GERIATRIC MEDICINE,Geriatric Medicine - Acute,medical
Medicine Board,Medical Specialties,Care Of the Elderly,GERIATRIC MEDICINE,Geriatric Medicine – Falls,medical
Medicine Board,Medical Specialties,Care Of the Elderly,GERIATRIC MEDICINE,Geriatric Medicine - Orthopaedics,medical
Medicine Board,Medical Specialties,Care Of the Elderly,GERIATRIC MEDICINE,Geriatric Medicine – Movement disorders,medical
Medicine Board,Medical Specialties,Clinical Pharmacology,CLINICAL PHARMACOLOGY,Pharmacology,medical
Medicine Board,Medical Specialties,Dermatology,DERMATOLOGY,Dermatology – Melanoma,medical
Medicine Board,Medical Specialties,Dermatology,DERMATOLOGY,Dermatology – General Adult,medical
Medicine Board,Medical Specialties,Dermatology,DERMATOLOGY,Dermatology – Specialist Cancer,medical
Medicine Board,Medical Specialties,Diabetes & Endocrinology,ENDOCRINOLOGY,Endocrinology - General,medical
Medicine Board,Medical Specialties,Diabetes & Endocrinology,ENDOCRINOLOGY,Endocrinology - Thyroid,medical
Medicine Board,Medical Specialties,Diabetes & Endocrinology,DIABETIC EDUCATION SERVICE,Diabetes - Education,medical
Medicine Board,Medical Specialties,Neurophysiology (Medical Specialties),CLINICAL PHYSIOLOGY,Medical - Physiology,medical
Medicine Board,Medical Specialties,Respiratory Medicine,RESPIRATORY MEDICINE,Respiratory - General,medical
Medicine Board,Medical Specialties,Respiratory Medicine,RESPIRATORY MEDICINE,Respiratory - Interventional Bronchoscopy,medical
Medicine Board,Medical Specialties,Respiratory Medicine,RESPIRATORY MEDICINE,Respiratory - Lung Cancer,medical
Medicine Board,Medical Specialties,Respiratory Medicine,RESPIRATORY MEDICINE,Respiratory - ILD,medical
Medicine Board,Medical Specialties,Respiratory Medicine,RESPIRATORY MEDICINE,Respiratory - Complex Infection,medical
Medicine Board,Medical Specialties,Respiratory Medicine,POST-COVID-19 SYNDROME SERVICE,Respiratory - Post COVID,medical
Medicine Board,Medical Specialties,Respiratory Medicine,RESPIRATORY MEDICINE,Respiratory - Pleural Disease,medical
Medicine Board,Medical Specialties,Retained Cardiology,CARDIOLOGY,Cardiology - General,medical
Medicine Board,Medical Specialties,Retained Cardiology,CONGENITAL HEART DISEASE SERVICE,Cardiology - Congenital Heart,medical
Medicine Board,Medical Specialties,Retained Cardiology,CARDIOLOGY,Cardiology - Cardio-Oncology,medical
Medicine Board,Medical Specialties,Rheumatology,RHEUMATOLOGY,Rheumatology - General,medical
Medicine Board,Medical Specialties,Rheumatology,RHEUMATOLOGY,Rheumatology - Lupus,medical
Medicine Board,Medical Specialties,Rheumatology,RHEUMATOLOGY,Rheumatology - Pain,medical
Medicine Board,Medical Specialties,Rheumatology,RHEUMATOLOGY,Rheumatology - Upper limb,medical
Medicine Board,Medical Specialties,Rheumatology,RHEUMATOLOGY,Rheumatology - Early Inflammatory Arthritis,medical
Specialist Hospitals Board,Paed and Adolescent,Children & Young Peoples Cancer,PAEDIATRIC MEDICAL ONCOLOGY,Paediatric - Oncology,paediatric
Specialist Hospitals Board,Paed and Adolescent,Children & Young Peoples Cancer,PAEDIATRIC CLINICAL HAEMATOLOGY,Paediatric - Haematology,paediatric
Specialist Hospitals Board,Paed and Adolescent,Children & Young Peoples Cancer,BLOOD AND MARROW TRANSPLANTATION,Paediatric - Blood & Marrow Transplantation,paediatric
Specialist Hospitals Board,Paed and Adolescent,Children & Young Peoples Cancer,PAEDIATRIC CLINICAL HAEMATOLOGY,Haematology - CAR-T Paediatric,paediatric
Specialist Hospitals Board,Paed and Adolescent,Children & Young Peoples Cancer,PAEDIATRIC MEDICAL ONCOLOGY,CYPCS - Sarcoma,paediatric
Specialist Hospitals Board,Paed and Adolescent,Children & Young Peoples Cancer,PAEDIATRIC MEDICAL ONCOLOGY,CYPCS - Neuro-Oncology,paediatric
Specialist Hospitals Board,Paed and Adolescent,Children & Young Peoples Cancer,PAEDIATRIC MEDICAL ONCOLOGY,Paediatric - Proton Beam Therapy,paediatric
Specialist Hospitals Board,Paed and Adolescent,General Paediatrics,PAEDIATRICS,Paediatric - General,paediatric
Specialist Hospitals Board,Paed and Adolescent,General Paediatrics,PAEDIATRIC RESPIRATORY MEDICINE,Paediatric - Respiratory Medicine,paediatric
Specialist Hospitals Board,Paed and Adolescent,General Paediatrics,PAEDIATRIC EPILEPSY,Paediatric - Epilepsy,paediatric
Specialist Hospitals Board,Paed and Adolescent,General Paediatrics,PAEDIATRIC INFECTIOUS DISEASES,Paediatric - Infectious Diseases,paediatric
Specialist Hospitals Board,Paed and Adolescent,General Paediatrics,PAEDIATRIC CLINICAL IMMUNOLOGY AND ALLERGY SERVICE,Paediatric - Allergy General,paediatric
Specialist Hospitals Board,Paed and Adolescent,General Paediatrics,PAEDIATRIC CLINICAL IMMUNOLOGY AND ALLERGY SERVICE,Paediatric - Allergy Asthma,paediatric
Specialist Hospitals Board,Paed and Adolescent,General Paediatrics,PAEDIATRICS,Paediatric - Genitourinary,paediatric
Specialist Hospitals Board,Paed and Adolescent,General Paediatrics,PAEDIATRICS,Paediatric - Safeguarding,paediatric
Specialist Hospitals Board,Paed and Adolescent,General Paediatrics,CHILD and ADOLESCENT PSYCHIATRY,CYPPS - Psychiatry,paediatric
Specialist Hospitals Board,Paed and Adolescent,General Paediatrics,OCCUPATIONAL THERAPY,Paediatric - Occupational Therapy,paediatric
Specialist Hospitals Board,Paed and Adolescent,General Paediatrics,PAEDIATRICS,Paediatric - Assessment Unit,paediatric
Specialist Hospitals Board,Paed and Adolescent,Paediatric Diabetes,PAEDIATRIC DIABETIC MEDICINE SERVICES,Paediatric - Diabetes,paediatric
Specialist Hospitals Board,Paed and Adolescent,Paediatric Endocrinology,PAEDIATRIC ENDOCRINOLOGY,Paediatric - Endocrinology,paediatric
Specialist Hospitals Board,Paed and Adolescent,Paediatric Surgery,PAEDIATRIC UROLOGY,Paediatric - Urology,paediatric
Specialist Hospitals Board,Paed and Adolescent,Paediatric Surgery,PAEDIATRIC SURGERY,Paediatric - Surgery,paediatric
Specialist Hospitals Board,Paed and Adolescent,Paediatric Surgery,PAEDIATRIC MAXILLO-FACIAL SURGERY,Paediatric - Maxillo-Facial Surgery,paediatric
Specialist Hospitals Board,Paed and Adolescent,Paediatric Surgery,PAEDIATRIC TRAUMA AND ORTHOPAEDICS,Paediatric - Orthopaedic Surgery,paediatric
Specialist Hospitals Board,Paed and Adolescent,Paediatric Surgery,PAEDIATRIC TRAUMA AND ORTHOPAEDICS,Paediatric - Trauma,paediatric
Specialist Hospitals Board,Queen Square,Diagnostic & Support,NEUROLOGY,Neurology - Prion,medical
Specialist Hospitals Board,Queen Square,Diagnostic & Support,CLINICAL NEUROPHYSIOLOGY,Neurology - Neuro-Genetics,medical
Specialist Hospitals Board,Queen Square,Neurology,NEUROLOGY,Neurology - General,medical
Specialist Hospitals Board,Queen Square,Neurology,NEUROLOGY,Neurology - Neuromuscular,medical
Specialist Hospitals Board,Queen Square,Neurology,NEUROLOGY,Neurology - Movement Disorders,medical
Specialist Hospitals Board,Queen Square,Neurology,NEUROLOGY,Neurology - Epilepsy General,medical
Specialist Hospitals Board,Queen Square,Neurology,NEUROLOGY,Neurology - Multiple Sclerosis,medical
Specialist Hospitals Board,Queen Square,Neurology,NEUROLOGY,Neurology - Cognitive Disorders,medical
Specialist Hospitals Board,Queen Square,Neurology,NEUROLOGY,Neurology - Headache (complex),medical
Specialist Hospitals Board,Queen Square,Neurology,NEUROLOGY,Neurology - Degenerative,medical
Specialist Hospitals Board,Queen Square,Rehab & Stroke,STROKE MEDICINE,Neurology - General Stroke,medical
Specialist Hospitals Board,Queen Square,Rehab & Stroke,SPECIALIST REHABILITATION SERVICE,Neurology - Rehabilitation,medical
Specialist Hospitals Board,Queen Square,Rehab & Stroke,NEUROLOGY,Neurology - Complex Stroke,medical
Specialist Hospitals Board,Queen Square,Rehab & Stroke,STROKE MEDICINE,Neurology - Young Stroke,medical
Specialist Hospitals Board,Queen Square,Rehab & Stroke,NEUROLOGY,Neurology - Traumatic Brain Injury,medical
Specialist Hospitals Board,Queen Square,Rehab & Stroke,SPECIALIST REHABILITATION SERVICE,Neurology - Spasticity,medical
Specialist Hospitals Board,Queen Square,Specialist Services,NEUROLOGY,Neurology - Autonomics,medical
Specialist Hospitals Board,Queen Square,Specialist Services,NEUROLOGY,Neurology - Neuromuscular Complex Care Centre,medical
Specialist Hospitals Board,Queen Square,Specialist Services,NEUROLOGY,Neurology - Uro-Neurology,medical
Specialist Hospitals Board,Queen Square,Specialist Services,NEUROLOGY,Neurology - Neuro Ophthalmology,medical
Specialist Hospitals Board,Queen Square,Specialist Services,NEUROLOGY,Neurology - Neuro-Oncology,medical
Specialist Hospitals Board,Queen Square,Specialist Services,PAIN MANAGEMENT,Pain Management - Complex Pain,medical
Specialist Hospitals Board,Queen Square,Specialist Services,CRITICAL CARE MEDICINE,Critical Care - NHNN MITU,medical
Specialist Hospitals Board,Queen Square,Specialist Services,NEUROPSYCHIATRY SERVICE,Neurology - Neuro-Psychiatry,medical
Specialist Hospitals Board,Queen Square,Specialist Services,INHERITED METABOLIC MEDICINE SERVICE,Neurology - Inherited Metabolic Diseases,medical
Specialist Hospitals Board,Queen Square,Specialist Services,PAIN MANAGEMENT,Pain Management - General,medical
Specialist Hospitals Board,Queen Square,Specialist Services,NEUROLOGY,Neurology - Neuro-Otology,medical
Specialist Hospitals Board,Queen Square,Specialist Services,CLINICAL PSYCHOLOGY,Neurology - Neuropsychology,medical
Specialist Hospitals Board,RNENT & EDH,Adult ENT,ENT,ENT - General,surgical
Specialist Hospitals Board,RNENT & EDH,Adult ENT,ENT,ENT - Ears,surgical
Specialist Hospitals Board,RNENT & EDH,Adult ENT,ENT,ENT - Nose,surgical
Specialist Hospitals Board,RNENT & EDH,Adult ENT,ENT,ENT - Throat,surgical
Specialist Hospitals Board,RNENT & EDH,Adult ENT,ENT,ENT - Voice,surgical
Specialist Hospitals Board,RNENT & EDH,Allergy,ALLERGY SERVICE,Allergy - Rhinology,surgical
Specialist Hospitals Board,RNENT & EDH,Allergy,CLINICAL IMMUNOLOGY,Clinical Immunology,surgical
Specialist Hospitals Board,RNENT & EDH,Cochlear Implants,ENT,Auditory Implants – Adult,surgical
Specialist Hospitals Board,RNENT & EDH,Paediatric Dentistry,PAEDIATRIC DENTISTRY,Dental - Paediatrics,paediatric
Specialist Hospitals Board,RNENT & EDH,Dental Medicine Specialties,DENTAL MEDICINE SPECIALTIES,Dental - Special Care,surgical
Specialist Hospitals Board,RNENT & EDH,Oral Surgery,ORAL SURGERY,Dental - Oral Surgery/OMFS,surgical
Specialist Hospitals Board,RNENT & EDH,Orthodontics,ORTHODONTICS,Dental - Orthodontics,surgical
Specialist Hospitals Board,RNENT & EDH,Paediatric ENT,PAEDIATRIC EAR NOSE AND THROAT,Paediatric ENT - General,paediatric
Specialist Hospitals Board,RNENT & EDH,Paediatric ENT,PAEDIATRIC EAR NOSE AND THROAT,Paediatric ENT - Ears,paediatric
Specialist Hospitals Board,RNENT & EDH,Paediatric ENT,PAEDIATRIC EAR NOSE AND THROAT,Paediatric ENT - Throat,paediatric
Specialist Hospitals Board,RNENT & EDH,Paediatric ENT,PAEDIATRIC EAR NOSE AND THROAT,Paediatric ENT - Nose,paediatric
Specialist Hospitals Board,RNENT & EDH,Restorative Dentistry,RESTORATIVE DENTISTRY,Dental - Endodontics,surgical
Specialist Hospitals Board,RNENT & EDH,Restorative Dentistry,RESTORATIVE DENTISTRY,Dental - HNC Dentistry,surgical
Specialist Hospitals Board,RNENT & EDH,Sleep Service,RESPIRATORY PHYSIOLOGY,ENT - Sleep/Snoring,surgical
Specialist Hospitals Board,Women's Health,Breast,BREAST SURGERY,Breast Surgery,surgical
Specialist Hospitals Board,Women's Health,Gynaecology,GYNAECOLOGY,Gynaecology - General,surgical
Specialist Hospitals Board,Women's Health,Gynaecology,GYNAECOLOGICAL ONCOLOGY,Gynaecology - Oncology,surgical
Specialist Hospitals Board,Women's Health,Gynaecology,GYNAECOLOGY,Gynaecology - Endometriosis,surgical
Specialist Hospitals Board,Women's Health,Gynaecology,GYNAECOLOGY,Gynaecology - Complex Mesh,surgical
Specialist Hospitals Board,Women's Health,Gynaecology,GYNAECOLOGY,Gynaecology - Urogynaecology,surgical
Specialist Hospitals Board,Women's Health,Gynaecology,GYNAECOLOGY,Gynaecology - RMU,surgical
Specialist Hospitals Board,Women's Health,Gynaecology,GYNAECOLOGY,Gynaecology - Colposcopy,surgical
Specialist Hospitals Board,Women's Health,Gynaecology,GYNAECOLOGY,Gynaecology - Emergency Care,surgical
Specialist Hospitals Board,Women's Health,Gynaecology,CLINICAL PSYCHOLOGY,Gynaecology - Clinical Psychology - General,surgical
Specialist Hospitals Board,Women's Health,Gynaecology,GYNAECOLOGY,Gynaecology - Menopause,surgical
Specialist Hospitals Board,Women's Health,Gynaecology,GYNAECOLOGY,Gynaecology - Enhanced Recovery,surgical
Specialist Hospitals Board,Women's Health,Gynaecology,GYNAECOLOGY,Gynaecology - Fertility,surgical
Specialist Hospitals Board,Women's Health,Gynaecology,GYNAECOLOGY,Gynaecology - Diagnostic Ultrasound,surgical
Specialist Hospitals Board,Women's Health,Gynaecology,CLINICAL PSYCHOLOGY,Gynaecology - Clinical Psychology Oncology,surgical
Specialist Hospitals Board,Women's Health,Gynaecology,GYNAECOLOGY,Gynaecology - Fertility Lab,surgical
Specialist Hospitals Board,Women's Health,Gynaecology,GYNAECOLOGY,Gynaecology - Endocrine,surgical
Specialist Hospitals Board,Women's Health,Maternity,OBSTETRICS,Obstetrics - Antenatal,surgical
Specialist Hospitals Board,Women's Health,Maternity,OBSTETRICS,Obstetrics - Birth,surgical
Specialist Hospitals Board,Women's Health,Maternity,MIDWIFERY SERVICE,Obstetrics - Postnatal,surgical
Specialist Hospitals Board,Women's Health,Maternity,OBSTETRICS,Obstetrics - Medical Complications,surgical
Specialist Hospitals Board,Women's Health,Maternity,FETAL MEDICINE SERVICE,Obstetrics - Fetal Medicine,surgical
Specialist Hospitals Board,Women's Health,Maternity,OBSTETRICS,Obstetrics - Still Birth,surgical
Specialist Hospitals Board,Women's Health,Neonates,NEONATOLOGY,Neonatal,surgical
